tozeret_cd,degem_cd,year,ignition,gearbox,gear,piston,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,fuel
388,230,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,5000.0,25.5,1700.0,8.3,210.0,13.7,22.2,18.2,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1554.0,,,62.0
388,237,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,5000.0,25.5,1700.0,8.3,210.0,13.7,22.2,18.2,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1554.0,,,62.0
388,238,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,5000.0,25.5,1700.0,8.3,210.0,13.7,22.2,18.2,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1554.0,,,62.0
388,124,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,127,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,129,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,130,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,136,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,153,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,124,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,127,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,129,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,130,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,136,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,153,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,174,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,175,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,177,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,189,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,193,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,196,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,128,2016,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.5,1300.0,7.2,230.0,13.5,20.8,17.2,,,,,,ABS + EBD + BAS,יש,463.5,186.5,148.4,277.6,380.0,,1612.0,,,68.0
388,128,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.5,1300.0,7.2,230.0,13.5,20.8,17.2,,,,,,ABS + EBD + BAS,יש,463.5,186.5,148.4,277.6,380.0,,1612.0,,,68.0
388,170,2017,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.5,1300.0,7.2,230.0,13.5,20.8,17.2,,,,,,ABS + EBD + BAS,יש,463.5,186.5,148.4,277.6,380.0,,1612.0,,,68.0
388,128,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.5,1300.0,7.2,230.0,13.5,20.8,17.2,,,,,,ABS + EBD + BAS,יש,463.5,186.5,148.4,277.6,380.0,,1612.0,,,68.0
388,170,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.5,1300.0,7.2,230.0,13.5,20.8,17.2,,,,,,ABS + EBD + BAS,יש,463.5,186.5,148.4,277.6,380.0,,1612.0,,,68.0
388,129,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,175,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
388,177,2018,קדמית,אוטומטית - טיפטרוניק,6.0,4.0,4700.0,30.0,1700.0,7.7,225.0,12.6,19.6,16.3,,,,,,ABS + EBD + BAS,יש,436.9,178.3,142.0,264.7,335.0,,1529.0,,,62.0
