,Unnamed: 0_x,Unnamed: 0.1,tozeret_cd,tozar,kinuy_mishari,ramat_gimur_x,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm_x,automatic_ind,mispar_halonot_hashmal,merkav,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,technologiat_hanaa_cd,technologiat_hanaa_nm,n_model,Unnamed: 0_y,make,model,ramat_gimur_y,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm_y,sitting.1,engine_cd
82,11202,11202,33,אופל,ADAM,ROCKS,2017,128,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
83,11205,11205,33,אופל,ADAM,ROCKS,2017,129,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
84,11205,11205,33,אופל,ADAM,ROCKS,2017,129,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
85,11206,11206,33,אופל,ADAM,UNLIMITED,2017,130,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
86,11206,11206,33,אופל,ADAM,UNLIMITED,2017,130,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
87,11207,11207,33,אופל,ADAM,ROCKS,2017,132,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
88,11207,11207,33,אופל,ADAM,ROCKS,2017,132,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
89,11121,11121,33,אופל,ADAM,JAM STS,2019,82,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,0,אופל,אדם,JAM,2019,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
90,11121,11121,33,אופל,ADAM,JAM STS,2019,82,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,14,אופל,אדם רוקס,,2019,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
91,11125,11125,33,אופל,ADAM,ROCKS,2019,84,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,0,אופל,אדם,JAM,2019,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
