tozeret_cd,tozar,kinuy_mishari,ramat_gimur,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm,automatic_ind,mispar_halonot_hashmal,halon_bagg_ind,galgaley_sagsoget_kala_ind,argaz_ind,merkav,sug_degem,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,bakarat_yatzivut_ind,kosher_grira_im_blamim,kosher_grira_bli_blamim,technologiat_hanaa_cd,technologiat_hanaa_nm,bakarat_stiya_menativ_ind,bakarat_stiya_menativ_makor_hatkana,nitur_merhak_milfanim_ind,nitur_merhak_milfanim_makor_hatkana,zihuy_beshetah_nistar_ind,bakarat_shyut_adaptivit_ind,zihuy_holchey_regel_ind,zihuy_holchey_regel_makor_hatkana,maarechet_ezer_labalam_ind,matzlemat_reverse_ind,hayshaney_lahatz_avir_batzmigim_ind,hayshaney_hagorot_ind,teura_automatit_benesiya_kadima_ind,shlita_automatit_beorot_gvohim_ind,shlita_automatit_beorot_gvohim_makor_hatkana,zihuy_matzav_hitkarvut_mesukenet_ind,zihuy_tamrurey_tnua_ind,zihuy_rechev_do_galgali,zihuy_tamrurey_tnua_makor_hatkana,bakarat_stiya_activ_s,blima_otomatit_nesia_leahor,bakarat_mehirut_isa,n_model
588,מזדה,CX5,PREMIUM,2014,2,6,2488,2075,167.0,3.0,4X4,1,4,1,1,1,פנאי-שטח,M,1,בנזין,5,188,5,1,750,750,,הנעה רגילה,0,,0,,1,0,0,,1,1,1,1,1,0,,0,0,0,,0,0,0,CX5
588,מזדה,MPV,KARAKURI,2005,50,5,2967,2390,175.0,1.0,4X2,1,4,1,1,0,MPV,M,1,בנזין,5,197,6,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,MPV
588,מזדה,MPV,KARAKURI,2006,50,5,2967,2390,175.0,1.0,4X2,1,4,1,1,0,MPV,M,1,בנזין,5,197,6,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,MPV
588,מזדה,MPV,KARAKURI,2007,50,5,2967,2390,175.0,1.0,4X2,1,4,1,1,0,MPV,M,1,בנזין,5,197,6,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,MPV
588,מזדה,MPV,KARAKURI,2007,51,5,2967,2390,175.0,1.0,4X2,1,4,1,1,0,MPV,M,1,בנזין,5,197,6,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,MPV
588,מזדה,CX5,EXECUTIVE,2013,60,5,2488,2075,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,188,5,1,750,750,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,1,0,,0,0,0,,0,0,0,CX5
588,מזדה,CX5,EXECUTIVE,2014,60,5,2488,2075,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,188,5,1,750,750,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,1,0,,0,0,0,,0,0,0,CX5
588,מזדה,CX5,EXECUTIVE,2015,60,5,2488,2075,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,188,5,1,750,750,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,1,0,,0,0,0,,0,0,0,CX5
588,מזדה,MPV,MPV,2004,400,5,2967,2395,175.0,1.0,4X2,1,4,1,1,0,MPV,M,1,בנזין,5,197,6,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,MPV
588,מזדה,MPV,MPV,2005,400,5,2967,2395,175.0,1.0,4X2,1,4,1,1,0,MPV,M,1,בנזין,5,197,6,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,MPV
139,מזדה,2,DYNAMIC,2010,1,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2011,1,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2012,1,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2013,1,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2010,2,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2011,2,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2012,2,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2013,2,2,1498,1030,,1.0,4X2,1,4,0,0,0,סדאן,P,1,בנזין,4,103,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,1,0,0,0,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2015,3,1,1496,1520,,1.0,4X2,1,4,0,0,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2016,3,1,1496,1520,,1.0,4X2,1,4,0,0,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2017,3,1,1496,1520,,1.0,4X2,1,4,0,0,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2015,4,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,PURE WHITE,2015,5,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,DEMIO COMF,2015,6,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,DEMIO PURE B,2015,7,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,0,0,0,,0,0,0,2
139,מזדה,2,ACTIVE,2015,8,1,1496,1520,,1.0,4X2,1,4,0,0,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2015,9,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2016,9,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2017,9,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2018,9,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,PURE WHITE,2015,10,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,PURE WHITE,2016,10,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,PURE WHITE,2017,10,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
