,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,video_url
101,Kia,CEE'D?,2019,5,88%,85%,68%,73%,https://www.youtube.com/embed/D1IP0qFadKo
102,Kia,CEE'D?,2019,4,88%,85%,52%,68%,https://www.youtube.com/embed/D1IP0qFadKo
103,DS,3-CROSSBACK,2019,5,96%,86%,64%,76%,https://www.youtube.com/embed/5gLoypicy4Y
104,DS,3-CROSSBACK,2019,4,87%,86%,54%,63%,https://www.youtube.com/embed/5gLoypicy4Y
105,Mercedes,EQC,2019,5,96%,90%,75%,75%,https://www.youtube.com/embed/pgI0fsCtbQo
106,Mercedes,CLA,2019,5,96%,91%,91%,75%,https://www.youtube.com/embed/Z9uQMJS5ajg
107,BMW,3 SERIES,2019,5,97%,87%,87%,76%,https://www.youtube.com/embed/aBAIytptrBQ
108,BMW,1 SERIES,2019,5,83%,87%,76%,72%,https://www.youtube.com/embed/W3U7h24oop4
109,Opel,CORSA,2019,4,84%,86%,66%,69%,https://www.youtube.com/embed/fBr8evB5pYA
110,Mercedes,GLB,2019,5,92%,88%,78%,74%,https://www.youtube.com/embed/HX6-aAZc74Q
111,Mazda,CX-30,2019,5,99%,86%,80%,77%,https://www.youtube.com/embed/EOLZNmIMp28
112,Tesla,MODEL-X,2019,5,98%,81%,72%,94%,https://www.youtube.com/embed/x7Hp2zACGmg
113,BMW,2-SERIES-ACTIVE-TOURER,2019,5,94%,87%,76%,72%,https://www.youtube.com/embed/CMuNqDjDPNo
114,Volkswagen,UP!,2019,3,81%,83%,46%,55%,https://www.youtube.com/embed/YM5spunoKHg
115,MG,ZS,2019,5,90%,85%,64%,70%,https://www.youtube.com/embed/EhOQczzFQCI
116,BMW,4 SERIES,2019,5,97%,83%,93%,72%,https://www.youtube.com/embed/Caa2EYx3GDw
117,BMW,4 SERIES,2019,5,96%,80%,93%,72%,https://www.youtube.com/embed/hbgC5MaempQ
118,Mercedes,EQA,2019,5,97%,90%,81%,75%,https://www.youtube.com/embed/8W0Txm5t3w4
119,Mercedes,GLA,2019,5,96%,90%,79%,75%,https://www.youtube.com/embed/o5qQZCfdjU4
120,Mercedes,EQB,2019,5,95%,91%,78%,74%,https://www.youtube.com/embed/2gC48GpbqMc
121,Volkswagen,ID.3?,2020,5,87%,89%,71%,88%,https://www.youtube.com/embed/0P7M8PvG0Pc
122,Mazda,MX-30?,2020,5,91%,87%,68%,73%,https://www.youtube.com/embed/IvnwqWsdd7E
123,Land-Rover,DEFENDER,2020,5,85%,85%,71%,79%, https://www.youtube.com/embed/WpCIrMIctxU
124,Isuzu,D-MAX,2020,5,84%,86%,69%,83%,https://www.youtube.com/embed/TrW-rUnDGlk
125,Skoda,ENYAQ IV,2021,5,94%,89%,71%,82%,https://www.youtube.com/embed/sPP1n95Dcqo
126,Volkswagen,ID.4?,2021,5,93%,89%,76%,85%,https://www.youtube.com/embed/0pCeUL-GB8U
127,Dacia,SANDERO-STEPWAY,2021,2,70%,72%,41%,42%,https://www.youtube.com/embed/vmfjM4lMX50
128,Opel,MOKKA,2021,4,73%,75%,58%,64%,https://www.youtube.com/embed/PJHOa8ImE8E
129,Audi,Q4_e-tron,2021,5,93%,89%,66%,80%,https://www.youtube.com/embed/5H-6JjP2gAI
130,Toyota,YARIS CROSS,2021,5,86%,84%,78%,81%,https://www.youtube.com/embed/F3NKBHyJxV4
131,Hyundai,IONIQ 5,2021,5,88%,86%,63%,88%,https://www.youtube.com/embed/1bq9finOW0s
132,Ford,MUSTANG MACH-E,2021,5,92%,86%,69%,82%,https://www.youtube.com/embed/ncqTRsfLhpI
133,MG,MARVEL-R?,2021,4,80%,75%,55%,80%,https://www.youtube.com/embed/q3un_vaxHXw
134,Mercedes,EQS,2021,5,96%,91%,76%,80%,https://www.youtube.com/embed/tBD4Qli4NOM
135,Volkswagen,ID.5?,2021,5,93%,89%,76%,85%,https://www.youtube.com/embed/Zy_uC5LtfMY
136,Ford,TOURNEO CONNECT,2021,5,84%,82%,69%,79%,https://www.youtube.com/embed/C42mveMU0I0
137,Renault,MEGANE,2022,5,85%,88%,65%,79%,https://www.youtube.com/embed/hbKSeESU3CY
138,BMW,2-SERIES-COUPE?,2022,4,82%,81%,67%,64%,https://www.youtube.com/embed/2Sy5cogzpO8
139,Honda,HR-V,2022,4,82%,75%,72%,78%,https://www.youtube.com/embed/AwrA14gcteQ
140,Volkswagen,GOLF,2009,5,97%,84%,61%,71%,https://www.youtube.com/embed/Gix7ymymhTo
141,Toyota,IQ,2009,5,91%,71%,54%,86%,https://www.youtube.com/embed/CE_eUP_BAcU
142,Toyota,AVENSIS,2009,5,90%,86%,53%,86%,https://www.youtube.com/embed/nQLRam6IKBA
143,Subaru,IMPREZA,2009,4,84%,73%,72%,57%,https://www.youtube.com/embed/50zAs2EpWOE
144,Skoda,SUPERB,2009,5,90%,81%,50%,71%,https://www.youtube.com/embed/VAIO_u8QcW8
145,Mitsubishi,LANCER,2009,5,81%,80%,34%,71%,https://www.youtube.com/embed/ANV6hSGw3Bo
146,Mazda,6,2009,5,77%,81%,49%,71%,https://www.youtube.com/embed/mxfn0RXvxs8
147,Volvo,XC60,2009,5,94%,79%,48%,86%,https://www.youtube.com/embed/M21inFc51t4
148,Volvo,V70,2009,5,88%,84%,43%,71%,https://www.youtube.com/embed/CDcy444Fel8
149,Volkswagen,TIGUAN,2009,5,87%,79%,48%,71%,https://www.youtube.com/embed/BAqhYefi1S8
150,Suzuki,ALTO,2009,3,55%,46%,35%,29%,https://www.youtube.com/embed/rpyWR7x8gOo
151,Peugeot,3008,2009,5,86%,81%,31%,97%,https://www.youtube.com/embed/7F13wYMldzg
152,Kia,SOUL,2009,5,87%,86%,39%,86%,https://www.youtube.com/embed/okQz7PHjULc
153,Hyundai,I20,2009,5,88%,83%,64%,86%,https://www.youtube.com/embed/trh5KFy4_x0
154,Honda,JAZZ,2009,5,78%,79%,60%,71%,https://www.youtube.com/embed/mJjUmZKNtbs
155,Honda,CIVIC,2009,5,79%,76%,67%,86%,https://www.youtube.com/embed/TyVDvyBoy_Q
156,Honda,ACCORD,2009,5,86%,79%,54%,86%,https://www.youtube.com/embed/2KVaxOcWxN4
157,Audi,Q5,2009,5,92%,84%,32%,71%,https://www.youtube.com/embed/P55B_p-hOkE
158,Audi,A4,2009,5,93%,84%,39%,71%,https://www.youtube.com/embed/nc1sOwMSTy4
159,Volkswagen,POLO,2009,5,90%,86%,41%,71%,https://www.youtube.com/embed/USas_poHSSI
