,dmake,dmodel,dyear,tozeret_cd,model_cd
55211,Kia,FORTE?,2011,885,1011
55212,Kia,FORTE?,2011,885,1021
55213,Kia,FORTE?,2012,885,1011
55214,Kia,FORTE?,2012,885,1021
55215,Kia,FORTE?,2013,885,19
55216,Kia,FORTE?,2013,885,20
55217,Kia,FORTE?,2013,885,52
55218,Kia,FORTE?,2013,885,53
55219,Kia,FORTE?,2013,885,1011
55220,Kia,FORTE?,2013,885,1021
55221,Kia,FORTE?,2014,885,52
55222,Kia,FORTE?,2014,885,53
55223,Kia,FORTE?,2014,885,83
55224,Kia,FORTE?,2014,885,84
55225,Kia,FORTE?,2014,885,109
55226,Kia,FORTE?,2014,885,112
55227,Kia,FORTE?,2014,885,113
55228,Kia,FORTE?,2014,885,114
55229,Kia,FORTE?,2014,885,150
55230,Kia,FORTE?,2014,885,152
55231,Kia,FORTE?,2014,885,153
55232,Kia,FORTE?,2014,885,154
55233,Kia,FORTE?,2015,885,53
55234,Kia,FORTE?,2015,885,150
55235,Kia,FORTE?,2015,885,152
55236,Kia,FORTE?,2015,885,153
55237,Kia,FORTE?,2015,885,154
55238,Kia,FORTE?,2015,885,228
55239,Kia,FORTE?,2015,885,229
55240,Kia,FORTE?,2015,885,232
55241,Kia,FORTE?,2015,885,233
55242,Kia,FORTE?,2015,885,1241
55243,Kia,FORTE?,2016,885,228
55244,Kia,FORTE?,2016,885,229
55245,Kia,FORTE?,2016,885,232
55246,Kia,FORTE?,2016,885,233
55247,Kia,FORTE?,2016,885,275
55248,Kia,FORTE?,2016,885,276
55249,Kia,FORTE?,2016,885,277
55250,Kia,FORTE?,2016,885,278
55251,Kia,FORTE?,2016,885,354
55252,Kia,FORTE?,2016,885,355
55253,Kia,FORTE?,2016,885,357
55254,Kia,FORTE?,2016,885,358
55255,Kia,FORTE?,2016,885,360
55256,Kia,FORTE?,2016,885,363
55257,Kia,FORTE?,2016,885,370
55258,Kia,FORTE?,2016,885,372
55259,Kia,FORTE?,2016,885,420
55260,Kia,FORTE?,2016,885,422
55261,Kia,FORTE?,2016,885,1241
55262,Kia,FORTE?,2017,885,357
55263,Kia,FORTE?,2017,885,358
55264,Kia,FORTE?,2017,885,360
55265,Kia,FORTE?,2017,885,363
55266,Kia,FORTE?,2017,885,370
55267,Kia,FORTE?,2017,885,372
55268,Kia,FORTE?,2017,885,406
55269,Kia,FORTE?,2017,885,419
55270,Kia,FORTE?,2017,885,420
55271,Kia,FORTE?,2017,885,422
55272,Kia,FORTE?,2018,885,357
55273,Kia,FORTE?,2018,885,363
55274,Kia,FORTE?,2018,885,372
55275,Kia,FORTE?,2018,885,406
55276,Kia,FORTE?,2018,885,419
55277,Kia,FORTE?,2018,885,420
55278,Kia,FORTE?,2018,885,422
55279,Kia,FORTE?,2018,885,477
55280,Kia,K-2500-BONGO?,2019,885,2
55281,Kia,K2500?,2019,885,1
55282,Kia,K2500?,2020,885,1
55283,Kia,K2500?,2020,885,3
55284,Kia,K2500?,2020,885,5
55285,Kia,K2500?,2021,885,5
55286,Kia,K2500?,2022,885,5
55287,Kia,K900?,2015,885,255
55288,Kia,MAGENITS?,2008,885,320
55289,Kia,MAGENTIS?,2005,885,391
55290,Kia,MAGENTIS?,2007,885,10
55291,Kia,MAGENTIS?,2007,885,12
55292,Kia,MAGENTIS?,2007,885,441
55293,Kia,MAGENTIS?,2007,885,442
55294,Kia,MAGENTIS?,2007,885,521
55295,Kia,MAGENTIS?,2007,885,522
55296,Kia,MAGENTIS?,2007,885,531
55297,Kia,MAGENTIS?,2008,885,442
55298,Kia,MAGENTIS?,2008,885,522
55299,Kia,MAGENTIS?,2008,885,531
55300,Kia,MAGENTIS?,2008,885,601
55301,Kia,MAGENTIS?,2008,885,611
55302,Kia,MAGENTIS?,2008,885,620
55303,Kia,MAGENTIS?,2008,885,621
55304,Kia,MAGENTIS?,2008,885,651
55305,Kia,MAGENTIS?,2008,885,761
55306,Kia,MAGENTIS?,2008,885,771
55307,Kia,MAGENTIS?,2009,885,601
55308,Kia,MAGENTIS?,2009,885,620
55309,Kia,MAGENTIS?,2009,885,651
55310,Kia,MAGENTIS?,2009,885,761
55311,Kia,MAGENTIS?,2009,885,771
55312,Kia,MAGENTIS?,2009,885,800
